# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3300, i.e. number of multipoles equal to 3299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
  70 2.4818726042e-10 4.3808233018e-14 -7.5999735658e-13 0.0000000000e+00 2.5988644585e-11 3.2657974801e-12 -8.3483044349e-15
  71 2.5137066158e-10 4.5576337653e-14 -8.2086664646e-13 0.0000000000e+00 2.5128889485e-11 3.1739375931e-12 -7.8926253586e-15
  72 2.5458092900e-10 4.7359693507e-14 -8.8242468085e-13 0.0000000000e+00 2.4301017255e-11 3.0854569902e-12 -7.5142769661e-15
  73 2.5781913651e-10 4.9157552717e-14 -9.4465328300e-13 0.0000000000e+00 2.3504545667e-11 3.0002963798e-12 -7.2247641048e-15
  74 2.6108687763e-10 5.0970320958e-14 -1.0076180131e-12 0.0000000000e+00 2.2740045338e-11 2.9185008755e-12 -7.0222015966e-15
  75 2.6438543200e-10 5.2798593229e-14 -1.0713986771e-12 0.0000000000e+00 2.2007625782e-11 2.8400627121e-12 -6.9037807614e-15
  76 2.6771574422e-10 5.4643162468e-14 -1.1360899334e-12 0.0000000000e+00 2.1306912122e-11 2.7649185964e-12 -6.8657298124e-15
  77 2.7107840265e-10 5.6505028161e-14 -1.2018019005e-12 0.0000000000e+00 2.0637021804e-11 2.6929470601e-12 -6.9032742533e-15
  78 2.7447361825e-10 5.8385404954e-14 -1.2686607637e-12 0.0000000000e+00 1.9996541316e-11 2.6239658103e-12 -7.0105972736e-15
  79 2.7790120343e-10 6.0285731270e-14 -1.3368093823e-12 0.0000000000e+00 1.9383502901e-11 2.5577290822e-12 -7.1808001458e-15
  80 2.8136055085e-10 6.2207677913e-14 -1.4064078967e-12 0.0000000000e+00 1.8795361271e-11 2.4939249901e-12 -7.4058626208e-15
  81 2.8485061225e-10 6.4153156688e-14 -1.4776343355e-12 0.0000000000e+00 1.8228970324e-11 2.4321728796e-12 -7.6766033249e-15
  82 2.8837038741e-10 6.6123593899e-14 -1.5506383104e-12 0.0000000000e+00 1.7681369841e-11 2.3721193567e-12 -7.9834954031e-15
  83 2.9192053281e-10 6.8117590191e-14 -1.6253917338e-12 0.0000000000e+00 1.7152350184e-11 2.3137509268e-12 -8.3193595366e-15
  84 2.9550198840e-10 7.0132877654e-14 -1.7018137706e-12 0.0000000000e+00 1.6642282078e-11 2.2571297913e-12 -8.6770574170e-15
  85 2.9911547970e-10 7.2167015366e-14 -1.7798152836e-12 0.0000000000e+00 1.6151336423e-11 2.2022989877e-12 -9.0486529400e-15
  86 3.0276150567e-10 7.4217385051e-14 -1.8592986136e-12 0.0000000000e+00 1.5679475289e-11 2.1492814814e-12 -9.4253876806e-15
  87 3.0644032649e-10 7.6281186725e-14 -1.9401573591e-12 0.0000000000e+00 1.5226442914e-11 2.0980792569e-12 -9.7976563689e-15
  88 3.1015195139e-10 7.8355434350e-14 -2.0222761560e-12 0.0000000000e+00 1.4791756701e-11 2.0486724097e-12 -1.0154982366e-14
  89 3.1389612651e-10 8.0436951483e-14 -2.1055304584e-12 0.0000000000e+00 1.4374698210e-11 2.0010182375e-12 -1.0485993137e-14
  90 3.1767232267e-10 8.2522366929e-14 -2.1897863175e-12 0.0000000000e+00 1.3974304161e-11 1.9550503321e-12 -1.0778395733e-14
  91 3.2147972322e-10 8.4608110390e-14 -2.2749001626e-12 0.0000000000e+00 1.3589357424e-11 1.9106776704e-12 -1.1018952257e-14
  92 3.2531721185e-10 8.6690408117e-14 -2.3607185803e-12 0.0000000000e+00 1.3218378020e-11 1.8677837068e-12 -1.1193455350e-14
  93 3.2918336044e-10 8.8765278561e-14 -2.4470780946e-12 0.0000000000e+00 1.2859614113e-11 1.8262254636e-12 -1.1286703656e-14
  94 3.3307684115e-10 9.0829000146e-14 -2.5338260524e-12 0.0000000000e+00 1.2511453243e-11 1.7858693443e-12 -1.1286299481e-14
  95 3.3699775943e-10 9.2879603646e-14 -2.6208873102e-12 0.0000000000e+00 1.2173745547e-11 1.7467066368e-12 -1.1194741361e-14
  96 3.4094649784e-10 9.4915594956e-14 -2.7082071136e-12 0.0000000000e+00 1.1846661773e-11 1.7087536033e-12 -1.1019094653e-14
  97 3.4492330305e-10 9.6935504742e-14 -2.7957309397e-12 0.0000000000e+00 1.1530287295e-11 1.6720158825e-12 -1.0767356284e-14
  98 3.4892827937e-10 9.8937890434e-14 -2.8834045605e-12 0.0000000000e+00 1.1224618752e-11 1.6364880746e-12 -1.0448481578e-14
  99 3.5296138227e-10 1.0092133822e-13 -2.9711741068e-12 0.0000000000e+00 1.0929560692e-11 1.6021533262e-12 -1.0072411101e-14
 100 3.5702241189e-10 1.0288446505e-13 -3.0589861313e-12 0.0000000000e+00 1.0644922218e-11 1.5689829152e-12 -9.6500974965e-15
 101 3.6111100657e-10 1.0482592062e-13 -3.1467876726e-12 0.0000000000e+00 1.0370413630e-11 1.5369358360e-12 -9.1935323205e-15
 102 3.6522663640e-10 1.0674438937e-13 -3.2345263186e-12 0.0000000000e+00 1.0105643066e-11 1.5059583846e-12 -8.7157728815e-15
 103 3.6936859670e-10 1.0863859248e-13 -3.3221502701e-12 0.0000000000e+00 9.8501131500e-12 1.4759837429e-12 -8.2309690767e-15
 104 3.7353600158e-10 1.1050728987e-13 -3.4096084040e-12 0.0000000000e+00 9.6032176309e-12 1.4469315646e-12 -7.7543902295e-15
 105 3.7772777744e-10 1.1234928220e-13 -3.4968503376e-12 0.0000000000e+00 9.3642380286e-12 1.4187075595e-12 -7.3024519272e-15
 106 3.8194265652e-10 1.1416341284e-13 -3.5838264916e-12 0.0000000000e+00 9.1323402762e-12 1.3912030789e-12 -6.8927428574e-15
 107 3.8617943188e-10 1.1594845032e-13 -3.6704843147e-12 0.0000000000e+00 8.9067665514e-12 1.3643202602e-12 -6.5404067170e-15
 108 3.9043777455e-10 1.1770271379e-13 -3.7567562555e-12 0.0000000000e+00 8.6874466711e-12 1.3380521137e-12 -6.2466892230e-15
 109 3.9471751221e-10 1.1942440179e-13 -3.8425703214e-12 0.0000000000e+00 8.4744611593e-12 1.3124122363e-12 -6.0089288940e-15
 110 3.9901837357e-10 1.2111170822e-13 -3.9278537991e-12 0.0000000000e+00 8.2678519260e-12 1.2874100437e-12 -5.8240566007e-15
 111 4.0333998460e-10 1.2276282305e-13 -4.0125332792e-12 0.0000000000e+00 8.0676209364e-12 1.2630506209e-12 -5.6885845533e-15
 112 4.0768186476e-10 1.2437593311e-13 -4.0965346794e-12 0.0000000000e+00 7.8737288819e-12 1.2393345729e-12 -5.5985952891e-15
 113 4.1204342329e-10 1.2594922282e-13 -4.1797832681e-12 0.0000000000e+00 7.6860938497e-12 1.2162578747e-12 -5.5497306605e-15
 114 4.1642395539e-10 1.2748087495e-13 -4.2622036885e-12 0.0000000000e+00 7.5045899936e-12 1.1938117220e-12 -5.5371808220e-15
 115 4.2082263849e-10 1.2896907135e-13 -4.3437199820e-12 0.0000000000e+00 7.3290462037e-12 1.1719823815e-12 -5.5556732184e-15
 116 4.2523852850e-10 1.3041199378e-13 -4.4242556120e-12 0.0000000000e+00 7.1592447770e-12 1.1507510413e-12 -5.5994615720e-15
 117 4.2967055600e-10 1.3180782455e-13 -4.5037334876e-12 0.0000000000e+00 6.9949200875e-12 1.1300936612e-12 -5.6623148705e-15
 118 4.3411752255e-10 1.3315474739e-13 -4.5820759872e-12 0.0000000000e+00 6.8357572563e-12 1.1099808235e-12 -5.7375063541e-15
 119 4.3857809685e-10 1.3445094810e-13 -4.6592049826e-12 0.0000000000e+00 6.6813908222e-12 1.0903775827e-12 -5.8178025038e-15
 120 4.4305081107e-10 1.3569461539e-13 -4.7350418620e-12 0.0000000000e+00 6.5314034112e-12 1.0712433167e-12 -5.8954520285e-15
 121 4.4753405700e-10 1.3688394157e-13 -4.8095075543e-12 0.0000000000e+00 6.3853244076e-12 1.0525315767e-12 -5.9621748527e-15
 122 4.5202631230e-10 1.3801724889e-13 -4.8825247791e-12 0.0000000000e+00 6.2427346687e-12 1.0342011163e-12 -6.0107879064e-15
 123 4.5652685675e-10 1.3909338333e-13 -4.9540250419e-12 0.0000000000e+00 6.1035972373e-12 1.0162507446e-12 -6.0403191817e-15
 124 4.6103513224e-10 1.4011136804e-13 -5.0239424973e-12 0.0000000000e+00 5.9679625973e-12 9.9868824582e-13 -6.0514678636e-15
 125 4.6555051831e-10 1.4107028361e-13 -5.0922118361e-12 0.0000000000e+00 5.8358655811e-12 9.8151950251e-13 -6.0450226157e-15
 126 4.7007233025e-10 1.4196926980e-13 -5.1587683268e-12 0.0000000000e+00 5.7073248880e-12 9.6474843550e-13 -6.0218636570e-15
 127 4.7459981716e-10 1.4280752736e-13 -5.2235478573e-12 0.0000000000e+00 5.5823426024e-12 9.4837694358e-13 -5.9829648389e-15
 128 4.7913216007e-10 1.4358431973e-13 -5.2864869762e-12 0.0000000000e+00 5.4609037120e-12 9.3240484330e-13 -5.9293957215e-15
 129 4.8366846997e-10 1.4429897482e-13 -5.3475229342e-12 0.0000000000e+00 5.3429756263e-12 9.1682980878e-13 -5.8623236511e-15
 130 4.8820778592e-10 1.4495088678e-13 -5.4065937258e-12 0.0000000000e+00 5.2285076942e-12 9.0164731152e-13 -5.7830158364e-15
 131 4.9274907309e-10 1.4553951772e-13 -5.4636381310e-12 0.0000000000e+00 5.1174307231e-12 8.8685056019e-13 -5.6928414253e-15
 132 4.9729122089e-10 1.4606439952e-13 -5.5185957562e-12 0.0000000000e+00 5.0096564966e-12 8.7243044042e-13 -5.5932735821e-15
 133 5.0183304103e-10 1.4652513554e-13 -5.5714070764e-12 0.0000000000e+00 4.9050772927e-12 8.5837545462e-13 -5.4858915639e-15
 134 5.0637326556e-10 1.4692140241e-13 -5.6220134761e-12 0.0000000000e+00 4.8035654024e-12 8.4467166175e-13 -5.3723827978e-15
 135 5.1091054499e-10 1.4725295177e-13 -5.6703572914e-12 0.0000000000e+00 4.7049726477e-12 8.3130261713e-13 -5.2545449569e-15
 136 5.1544344639e-10 1.4751961202e-13 -5.7163818509e-12 0.0000000000e+00 4.6091298999e-12 8.1824931224e-13 -5.1342880381e-15
 137 5.1997045138e-10 1.4772129012e-13 -5.7600315176e-12 0.0000000000e+00 4.5158465978e-12 8.0549011452e-13 -5.0136364381e-15
 138 5.2448995431e-10 1.4785797329e-13 -5.8012517305e-12 0.0000000000e+00 4.4249102661e-12 7.9300070717e-13 -4.8947310305e-15
 139 5.2900026027e-10 1.4792973081e-13 -5.8399890455e-12 0.0000000000e+00 4.3360860333e-12 7.8075402893e-13 -4.7798312427e-15
 140 5.3349974198e-10 1.4793670280e-13 -5.8761899101e-12 0.0000000000e+00 4.2491669974e-12 7.6872627923e-13 -4.6708828021e-15
 141 5.3798733244e-10 1.4787906168e-13 -5.9097967572e-12 0.0000000000e+00 4.1641320965e-12 7.5691574717e-13 -4.5681671841e-15
 142 5.4246207873e-10 1.4775705010e-13 -5.9407515919e-12 0.0000000000e+00 4.0810033938e-12 7.4532578496e-13 -4.4715186259e-15
 143 5.4692298684e-10 1.4757099524e-13 -5.9689972575e-12 0.0000000000e+00 3.9997964959e-12 7.3395889071e-13 -4.3807456159e-15
 144 5.5136902066e-10 1.4732131051e-13 -5.9944774690e-12 0.0000000000e+00 3.9205203794e-12 7.2281668514e-13 -4.2956303300e-15
 145 5.5579910105e-10 1.4700849717e-13 -6.0171368470e-12 0.0000000000e+00 3.8431772189e-12 7.1189988817e-13 -4.2159280681e-15
