# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
  95 3.3589243501e-10 9.2656576144e-14 -2.6047313261e-12 3.7758262289e-16 1.2158925775e-11 1.7405633747e-12 -1.1122882664e-14
  96 3.3983523466e-10 9.4690172283e-14 -2.6914950309e-12 3.8564266471e-16 1.1832662100e-11 1.7027872313e-12 -1.0937829018e-14
  97 3.4380588375e-10 9.6707988039e-14 -2.7784769017e-12 3.9379231889e-16 1.1517070355e-11 1.6662248796e-12 -1.0680394456e-14
  98 3.4780449195e-10 9.8708582948e-14 -2.8656213372e-12 4.0203238166e-16 1.1212147583e-11 1.6308703508e-12 -1.0359218079e-14
  99 3.5183102225e-10 1.0069054439e-13 -2.9528728927e-12 4.1036370012e-16 1.0917799017e-11 1.5967062090e-12 -9.9838834707e-15
 100 3.5588528458e-10 1.0265248957e-13 -3.0401763380e-12 4.1878717345e-16 1.0633834736e-11 1.5637031362e-12 -9.5649443775e-15
 101 3.5996692937e-10 1.0459306746e-13 -3.1274767149e-12 4.2730375416e-16 1.0359966313e-11 1.5318195175e-12 -9.1139503841e-15
 102 3.6407544121e-10 1.0651096076e-13 -3.2147193948e-12 4.3591444927e-16 1.0095803474e-11 1.5010010257e-12 -8.6434725944e-15
 103 3.6821013239e-10 1.0840488791e-13 -3.3018501362e-12 4.4462032154e-16 9.8408507482e-12 1.4711802072e-12 -8.1671293101e-15
 104 3.7237013653e-10 1.1027360497e-13 -3.3888151429e-12 4.5342249070e-16 9.5945041199e-12 1.4422760660e-12 -7.6996117094e-15
 105 3.7655440219e-10 1.1211590769e-13 -3.4755611208e-12 4.6232213465e-16 9.3560476839e-12 1.4141936496e-12 -7.2567095256e-15
 106 3.8076168645e-10 1.1393063337e-13 -3.5620353360e-12 4.7132049066e-16 9.1246502972e-12 1.3868236338e-12 -6.8553367264e-15
 107 3.8499080314e-10 1.1571654720e-13 -3.6481825333e-12 4.8041872471e-16 8.8995568058e-12 1.3600676132e-12 -6.5100481394e-15
 108 3.8924141838e-10 1.1747197982e-13 -3.7339351065e-12 4.8961751724e-16 8.6806975131e-12 1.3339186474e-12 -6.2220132540e-15
 109 3.9351334815e-10 1.1919514555e-13 -3.8192217376e-12 4.9891742494e-16 8.4681529382e-12 1.3083905758e-12 -5.9886344050e-15
 110 3.9780630928e-10 1.2088425459e-13 -3.9039704456e-12 5.0831900766e-16 8.2619650890e-12 1.2834931116e-12 -5.8069157077e-15
 111 4.0211991569e-10 1.2253751378e-13 -3.9881086110e-12 5.1782282828e-16 8.0621361353e-12 1.2592316936e-12 -5.6734522981e-15
 112 4.0645367466e-10 1.2415312733e-13 -4.0715630011e-12 5.2742945248e-16 7.8686270828e-12 1.2356073383e-12 -5.5844195731e-15
 113 4.1080698306e-10 1.2572929765e-13 -4.1542597951e-12 5.3713944868e-16 7.6813564465e-12 1.2126164918e-12 -5.5355624303e-15
 114 4.1517912360e-10 1.2726422603e-13 -4.2361246089e-12 5.4695338779e-16 7.5001989239e-12 1.1902508817e-12 -5.5221845086e-15
 115 4.1956926105e-10 1.2875611349e-13 -4.3170825203e-12 5.5687184313e-16 7.3249840692e-12 1.1684973696e-12 -5.5391374275e-15
 116 4.2397643853e-10 1.3020316147e-13 -4.3970580938e-12 5.6689539025e-16 7.1554949661e-12 1.1473378024e-12 -5.5808100280e-15
 117 4.2839957373e-10 1.3160357264e-13 -4.4759754060e-12 5.7702460676e-16 6.9914669018e-12 1.1267488648e-12 -5.6411176119e-15
 118 4.3283745513e-10 1.3295555162e-13 -4.5537580704e-12 5.8726007219e-16 6.8325860405e-12 1.1067019309e-12 -5.7134911826e-15
 119 4.3728873830e-10 1.3425730580e-13 -4.6303292622e-12 5.9760236785e-16 6.6784880967e-12 1.0871629164e-12 -5.7908666846e-15
 120 4.4175194211e-10 1.3550704604e-13 -4.7056117437e-12 6.0805207664e-16 6.5287570090e-12 1.0680921308e-12 -5.8656742438e-15
 121 4.4622544496e-10 1.3670298749e-13 -4.7795278892e-12 6.1860978293e-16 6.3829236133e-12 1.0494441289e-12 -5.9298274078e-15
 122 4.5070771351e-10 1.3784347385e-13 -4.8520017169e-12 6.2927611954e-16 6.2405700689e-12 1.0311785243e-12 -5.9763108416e-15
 123 4.5519802675e-10 1.3892736496e-13 -4.9229651988e-12 6.4005191529e-16 6.1016596562e-12 1.0132941629e-12 -6.0041745693e-15
 124 4.5969582906e-10 1.3995369576e-13 -4.9923527318e-12 6.5093806435e-16 5.9662428466e-12 9.9579864593e-13 -6.0141004576e-15
 125 4.6420050339e-10 1.4092155849e-13 -5.0600992372e-12 6.6193548079e-16 5.8343544943e-12 9.7869766338e-13 -6.0068575509e-15
 126 4.6871136943e-10 1.4183010444e-13 -5.1261402014e-12 6.7304509885e-16 5.7060133555e-12 9.6199493383e-13 -5.9833040944e-15
 127 4.7322768162e-10 1.4267854572e-13 -5.1904117175e-12 6.8426787312e-16 5.5812216080e-12 9.4569214396e-13 -5.9443895565e-15
 128 4.7774862731e-10 1.4346615698e-13 -5.2528505255e-12 6.9560477877e-16 5.4599643700e-12 9.2978888823e-13 -5.8911566518e-15
 129 4.8227332487e-10 1.4419227716e-13 -5.3133940543e-12 7.0705681180e-16 5.3422092195e-12 9.1428260849e-13 -5.8247433629e-15
 130 4.8680082176e-10 1.4485631130e-13 -5.3719804622e-12 7.1862498924e-16 5.2279057137e-12 8.9916853365e-13 -5.7463849639e-15
 131 4.9133009264e-10 1.4545773221e-13 -5.4285486780e-12 7.3031034937e-16 5.1169849076e-12 8.8443961932e-13 -5.6574160424e-15
 132 4.9586003752e-10 1.4599608226e-13 -5.4830384425e-12 7.4211395195e-16 5.0093588739e-12 8.7008648744e-13 -5.5592725224e-15
 133 5.0038947979e-10 1.4647097516e-13 -5.5353903490e-12 7.5403687846e-16 4.9049202219e-12 8.5609736592e-13 -5.4534936870e-15
 134 5.0491716437e-10 1.4688209764e-13 -5.5855458848e-12 7.6608023227e-16 4.8035416167e-12 8.4245802831e-13 -5.3417242005e-15
 135 5.0944175583e-10 1.4722921126e-13 -5.6334474722e-12 7.7824513892e-16 4.7050752983e-12 8.2915173341e-13 -5.2257161317e-15
 136 5.1396183643e-10 1.4751215414e-13 -5.6790385092e-12 7.9053274633e-16 4.6093526011e-12 8.1615916492e-13 -5.1073309759e-15
 137 5.1847590428e-10 1.4773084272e-13 -5.7222634111e-12 8.0294422498e-16 4.5161834731e-12 8.0345837110e-13 -4.9885416779e-15
 138 5.2298237144e-10 1.4788527347e-13 -5.7630676514e-12 8.1548076819e-16 4.4253559947e-12 7.9102470439e-13 -4.8714346547e-15
 139 5.2747956200e-10 1.4797552471e-13 -5.8013978025e-12 8.2814359232e-16 4.3366358985e-12 7.7883076108e-13 -4.7582118174e-15
 140 5.3196586505e-10 1.4800174548e-13 -5.8372003775e-12 8.4093382672e-16 4.2498168193e-12 7.6685246590e-13 -4.6507695514e-15
 141 5.3644021522e-10 1.4796411737e-13 -5.8704181342e-12 8.5385217068e-16 4.1648778061e-12 7.5508814906e-13 -4.5493832596e-15
 142 5.4090165743e-10 1.4786289216e-13 -5.9009934722e-12 8.6689920199e-16 4.0818409320e-12 7.4354129662e-13 -4.4538927506e-15
 143 5.4534919551e-10 1.4769840594e-13 -5.9288696334e-12 8.8007548363e-16 4.0007218240e-12 7.3221455618e-13 -4.3641127737e-15
 144 5.4978179119e-10 1.4747108076e-13 -5.9539907353e-12 8.9338156333e-16 3.9215294909e-12 7.2110971393e-13 -4.2798324706e-15
 145 5.5419836318e-10 1.4718142635e-13 -5.9763018046e-12 9.0681797312e-16 3.8442661509e-12 7.1022767157e-13 -4.2008148260e-15
 146 5.5859778619e-10 1.4683004176e-13 -5.9957488116e-12 9.2038522887e-16 3.7689270591e-12 6.9956842339e-13 -4.1267961184e-15
 147 5.6297888999e-10 1.4641761703e-13 -6.0122787033e-12 9.3408382986e-16 3.6955003354e-12 6.8913103321e-13 -4.0574853713e-15
 148 5.6734045846e-10 1.4594493488e-13 -6.0258394377e-12 9.4791425830e-16 3.6239667915e-12 6.7891361140e-13 -3.9925638039e-15
 149 5.7168122864e-10 1.4541287240e-13 -6.0363800173e-12 9.6187697895e-16 3.5542997592e-12 6.6891329187e-13 -3.9316842822e-15
 150 5.7599988972e-10 1.4482240265e-13 -6.0438505229e-12 9.7597243858e-16 3.4864649177e-12 6.5912620908e-13 -3.8744707697e-15
 151 5.8029508217e-10 1.4417459643e-13 -6.0482021476e-12 9.9020106561e-16 3.4204201210e-12 6.4954747503e-13 -3.8205177785e-15
 152 5.8456539673e-10 1.4347062388e-13 -6.0493872301e-12 1.0045632696e-15 3.3561152260e-12 6.4017115625e-13 -3.7693898201e-15
 153 5.8880937346e-10 1.4271175618e-13 -6.0473592890e-12 1.0190594408e-15 3.2934919195e-12 6.3099025081e-13 -3.7206208564e-15
 154 5.9302550081e-10 1.4189936721e-13 -6.0420730565e-12 1.0336899499e-15 3.2324835466e-12 6.2199666532e-13 -3.6737137506e-15
 155 5.9721221464e-10 1.4103493526e-13 -6.0334845117e-12 1.0484551471e-15 3.1730149374e-12 6.1318119190e-13 -3.6281397180e-15
 156 6.0136789727e-10 1.4012004465e-13 -6.0215509149e-12 1.0633553622e-15 3.1150022353e-12 6.0453348523e-13 -3.5833377770e-15
 157 6.0549087654e-10 1.3915638744e-13 -6.0062308413e-12 1.0783909038e-15 3.0583527243e-12 5.9604203949e-13 -3.5387142004e-15
 158 6.0957942484e-10 1.3814576509e-13 -5.9874842145e-12 1.0935620592e-15 3.0029646569e-12 5.8769416540e-13 -3.4936419654e-15
 159 6.1363175817e-10 1.3709009013e-13 -5.9652723405e-12 1.1088690936e-15 2.9487270811e-12 5.7947596720e-13 -3.4474602055e-15
 160 6.1764619056e-10 1.3599135889e-13 -5.9395596630e-12 1.1243122328e-15 2.8955431420e-12 5.7137541842e-13 -3.3996044922e-15
 161 6.2162161491e-10 1.3485156339e-13 -5.9103191343e-12 1.1398916119e-15 2.8434026764e-12 5.6339194514e-13 -3.3500118631e-15
 162 6.2555706331e-10 1.3367277480e-13 -5.8775273887e-12 1.1556073211e-15 2.7923157775e-12 5.5552765537e-13 -3.2987509487e-15
 163 6.2945155528e-10 1.3245717316e-13 -5.8411631061e-12 1.1714594215e-15 2.7422898398e-12 5.4778430852e-13 -3.2458944417e-15
 164 6.3330409752e-10 1.3120704893e-13 -5.8012070529e-12 1.1874479453e-15 2.6933294963e-12 5.4016330674e-13 -3.1915191575e-15
 165 6.3711368367e-10 1.2992480454e-13 -5.7576421246e-12 1.2035728943e-15 2.6454365553e-12 5.3266568646e-13 -3.1357060943e-15
 166 6.4087929411e-10 1.2861295595e-13 -5.7104533872e-12 1.2198342402e-15 2.5986099374e-12 5.2529210971e-13 -3.0785404935e-15
 167 6.4459989571e-10 1.2727413412e-13 -5.6596281189e-12 1.2362319236e-15 2.5528456124e-12 5.1804285565e-13 -3.0201119006e-15
 168 6.4827444161e-10 1.2591108661e-13 -5.6051558524e-12 1.2527658536e-15 2.5081365363e-12 5.1091781196e-13 -2.9605142249e-15
 169 6.5190187097e-10 1.2452667911e-13 -5.5470284159e-12 1.2694359071e-15 2.4644725884e-12 5.0391646625e-13 -2.8998458001e-15
 170 6.5548110875e-10 1.2312389694e-13 -5.4852399759e-12 1.2862419288e-15 2.4218405078e-12 4.9703789755e-13 -2.8382094450e-15
