# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
  74 2.6072858202e-10 5.0616427618e-14 -1.0073024825e-12 2.2075039331e-16 2.2235911791e-11 2.9285549369e-12 -7.7698402797e-15
  75 2.6405107019e-10 5.2436787554e-14 -1.0715335194e-12 2.2677408023e-16 2.1518615458e-11 2.8493820211e-12 -7.6880089272e-15
  76 2.6740530023e-10 5.4274167533e-14 -1.1367951205e-12 2.3288038587e-16 2.0832391251e-11 2.7735402388e-12 -7.6704510385e-15
  77 2.7079183383e-10 5.6129467965e-14 -1.2031544793e-12 2.3906948032e-16 2.0176373790e-11 2.7009111411e-12 -7.7127659592e-15
  78 2.7421085918e-10 5.8003789254e-14 -1.2706897582e-12 2.4534154501e-16 1.9549177590e-11 2.6313153424e-12 -7.8096538239e-15
  79 2.7766216999e-10 5.9898439878e-14 -1.3394905260e-12 2.5169677310e-16 1.8948874254e-11 2.5645098634e-12 -7.9548816720e-15
  80 2.8114514462e-10 6.1814944463e-14 -1.4096581950e-12 2.5813536985e-16 1.8372969664e-11 2.5001854730e-12 -8.1412495638e-15
  81 2.8465872510e-10 6.3755051857e-14 -1.4813064587e-12 2.6465755295e-16 1.7818381177e-11 2.4379640312e-12 -8.3605566960e-15
  82 2.8820190214e-10 6.5720032847e-14 -1.5545289074e-12 2.7126352609e-16 1.7282208263e-11 2.3774937233e-12 -8.6044212060e-15
  83 2.9177531075e-10 6.7708418526e-14 -1.6292945978e-12 2.7795339357e-16 1.6764244850e-11 2.3187591805e-12 -8.8669739232e-15
  84 2.9537986827e-10 6.9717891270e-14 -1.7055354866e-12 2.8472723180e-16 1.6264853416e-11 2.2618193486e-12 -9.1425616989e-15
  85 2.9901628061e-10 7.1745956622e-14 -1.7831775384e-12 2.9158511472e-16 1.5784200725e-11 2.2067133530e-12 -9.4249157767e-15
  86 3.0268503024e-10 7.3789938849e-14 -1.8621405846e-12 2.9852711371e-16 1.5322249016e-11 2.1534595667e-12 -9.7071329608e-15
  87 3.0638636419e-10 7.5846976487e-14 -1.9423381819e-12 3.0555329745e-16 1.4878747180e-11 2.1020546794e-12 -9.9816567833e-15
  88 3.1012028203e-10 7.7914017898e-14 -2.0236774714e-12 3.1266373185e-16 1.4453221951e-11 2.0524727649e-12 -1.0240258672e-14
  89 3.1388652382e-10 7.9987816817e-14 -2.1060590369e-12 3.1985847991e-16 1.4044969083e-11 2.0046643503e-12 -1.0474019117e-14
  90 3.1768455814e-10 8.2064927905e-14 -2.1893767638e-12 3.2713760162e-16 1.3653044534e-11 1.9585554840e-12 -1.0673308842e-14
  91 3.2151357006e-10 8.4141702299e-14 -2.2735176979e-12 3.3450115386e-16 1.3276255651e-11 1.9140468041e-12 -1.0827769968e-14
  92 3.2537244911e-10 8.6214283166e-14 -2.3583619039e-12 3.4194919028e-16 1.2913152354e-11 1.8710126067e-12 -1.0926297183e-14
  93 3.2925977725e-10 8.8278601250e-14 -2.4437823243e-12 3.4948176118e-16 1.2562018315e-11 1.8292999144e-12 -1.0957018908e-14
