# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
  89 3.1280791867e-10 7.9431232176e-14 -2.0963609932e-12 3.1928564964e-16 1.3959765703e-11 2.0025126286e-12 -1.0447624107e-14
  90 3.1660730694e-10 8.1498659193e-14 -2.1793498817e-12 3.2655521198e-16 1.3570497112e-11 1.9564329511e-12 -1.0663816607e-14
  91 3.2043763385e-10 8.3565886080e-14 -2.2631660682e-12 3.3390925562e-16 1.3196251141e-11 1.9119528810e-12 -1.0834142563e-14
  92 3.2429778918e-10 8.5629014082e-14 -2.3476860039e-12 3.4134784305e-16 1.2835588975e-11 1.8689465380e-12 -1.0946717026e-14
  93 3.2818635740e-10 8.7683927549e-14 -2.4327786619e-12 3.4887103378e-16 1.2486807507e-11 1.8272607630e-12 -1.0988827654e-14
  94 3.3210202107e-10 8.9726800994e-14 -2.5183197985e-12 3.5647897888e-16 1.2148339112e-11 1.7867531903e-12 -1.0950162039e-14
  95 3.3604486513e-10 9.1755716489e-14 -2.6042374961e-12 3.6417222089e-16 1.1820038003e-11 1.7474149662e-12 -1.0833083315e-14
  96 3.4001524563e-10 9.3769279699e-14 -2.6904731517e-12 3.7195143858e-16 1.1502070061e-11 1.7092646600e-12 -1.0643853599e-14
  97 3.4401338550e-10 9.5766131979e-14 -2.7769677098e-12 3.7981735741e-16 1.1194518161e-11 1.6723104863e-12 -1.0389545504e-14
  98 3.4803936822e-10 9.7744952676e-14 -2.8636617047e-12 3.8777075078e-16 1.0897378907e-11 1.6365498972e-12 -1.0078065381e-14
  99 3.5209313149e-10 9.9704461432e-14 -2.9504953028e-12 3.9581244110e-16 1.0610559371e-11 1.6019691752e-12 -9.7181765508e-15
 100 3.5617446090e-10 1.0164342048e-13 -3.0374083452e-12 4.0394330104e-16 1.0333873827e-11 1.5685430252e-12 -9.3195225455e-15
 101 3.6028298357e-10 1.0356063694e-13 -3.1243403899e-12 4.1216425468e-16 1.0067040486e-11 1.5362341675e-12 -8.8926503415e-15
