# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
  79 2.7629919222e-10 6.0184543197e-14 -1.3302449782e-12 2.6117985963e-16 1.9375370538e-11 2.5482342374e-12 -1.0819261928e-14
  80 2.7973504318e-10 6.2132270979e-14 -1.4026089854e-12 2.6786140540e-16 1.8788892524e-11 2.4851139107e-12 -1.1184201508e-14
  81 2.8320127877e-10 6.4095267793e-14 -1.4761144387e-12 2.7462974569e-16 1.8224067179e-11 2.4240131668e-12 -1.1477233818e-14
  82 2.8669674922e-10 6.6071909396e-14 -1.5506703596e-12 2.8148511573e-16 1.7677945829e-11 2.3645531933e-12 -1.1665833952e-14
  83 2.9022211519e-10 6.8060714231e-14 -1.6262283269e-12 2.8842764088e-16 1.7150320718e-11 2.3067167554e-12 -1.1748087688e-14
  84 2.9377836657e-10 7.0060210785e-14 -1.7027510575e-12 2.9545741664e-16 1.6641562400e-11 2.2505684984e-12 -1.1731010014e-14
  85 2.9736628622e-10 7.2068890421e-14 -1.7802012380e-12 3.0257453701e-16 1.6151842287e-11 2.1961545754e-12 -1.1622835068e-14
  86 3.0098643808e-10 7.4085207617e-14 -1.8585415895e-12 3.0977909451e-16 1.5681123669e-11 2.1435017631e-12 -1.1433057306e-14
  87 3.0463915523e-10 7.6107580211e-14 -1.9377349323e-12 3.1707118000e-16 1.5229152744e-11 2.0926165785e-12 -1.1172472696e-14
  88 3.0832452800e-10 7.8134389641e-14 -2.0177442509e-12 3.2445088267e-16 1.4795449637e-11 2.0434843951e-12 -1.0853219891e-14
  89 3.1204239200e-10 8.0163981190e-14 -2.0985327596e-12 3.3191828991e-16 1.4379299430e-11 1.9960685587e-12 -1.0488821415e-14
  90 3.1579231626e-10 8.2194664224e-14 -2.1800639667e-12 3.3947348724e-16 1.3979743183e-11 1.9503095041e-12 -1.0094224842e-14
  91 3.1957359126e-10 8.4224712440e-14 -2.2623017397e-12 3.4711655824e-16 1.3595568960e-11 1.9061238712e-12 -9.6858439804e-15
  92 3.2338521703e-10 8.6252364105e-14 -2.3452103707e-12 3.5484758443e-16 1.3225302853e-11 1.8634036212e-12 -9.2816000510e-15
  93 3.2722589121e-10 8.8275822299e-14 -2.4287546408e-12 3.6266664523e-16 1.2867200006e-11 1.8220151528e-12 -8.9009628717e-15
  94 3.3109440136e-10 9.0293276890e-14 -2.5128954515e-12 3.7057390923e-16 1.2519654430e-11 1.7818330143e-12 -8.5610412815e-15
  95 3.3499089431e-10 9.2302973674e-14 -2.5975758335e-12 3.7856992392e-16 1.2182517685e-11 1.7428486959e-12 -8.2640995838e-15
  96 3.3891577459e-10 9.4303156025e-14 -2.6827329653e-12 3.8665536918e-16 1.1855960810e-11 1.7050764725e-12 -8.0082502857e-15
  97 3.4286931065e-10 9.6292044605e-14 -2.7683024272e-12 3.9483097077e-16 1.1540069723e-11 1.6685198386e-12 -7.7912274837e-15
  98 3.4685162841e-10 9.8267837900e-14 -2.8542182066e-12 4.0309750158e-16 1.1234841873e-11 1.6331710889e-12 -7.6103749553e-15
  99 3.5086270472e-10 1.0022871275e-13 -2.9404127031e-12 4.1145578269e-16 1.0940182896e-11 1.5990108998e-12 -7.4626342508e-15
 100 3.5490236092e-10 1.0217282490e-13 -3.0268167345e-12 4.1990668453e-16 1.0655903261e-11 1.5660079104e-12 -7.3445327858e-15
 101 3.5897025631e-10 1.0409830951e-13 -3.1133595415e-12 4.2845112808e-16 1.0381714930e-11 1.5341183035e-12 -7.2521719322e-15
 102 3.6306588169e-10 1.0600328170e-13 -3.1999687939e-12 4.3709008594e-16 1.0117228002e-11 1.5032853870e-12 -7.1812151110e-15
 103 3.6718855286e-10 1.0788583709e-13 -3.2865705950e-12 4.4582458351e-16 9.8619473706e-12 1.4734391748e-12 -7.1268758835e-15
 104 3.7133740413e-10 1.0974405233e-13 -3.3730894880e-12 4.5465570013e-16 9.6152693749e-12 1.4444959680e-12 -7.0839060438e-15
 105 3.7551138182e-10 1.1157598564e-13 -3.4594484607e-12 4.6358457022e-16 9.3764784506e-12 1.4163579361e-12 -7.0465837101e-15
 106 3.7970923780e-10 1.1337967732e-13 -3.5455689512e-12 4.7261238443e-16 9.1447437834e-12 1.3889126982e-12 -7.0087014171e-15
 107 3.8392978936e-10 1.1515321011e-13 -3.6313730122e-12 4.8174026930e-16 8.9193105572e-12 1.3620593847e-12 -6.9647951875e-15
 108 3.8817275186e-10 1.1689489790e-13 -3.7167901155e-12 4.9096890581e-16 8.7001094950e-12 1.3357916219e-12 -6.9140411299e-15
 109 3.9243800389e-10 1.1860312296e-13 -3.8017512561e-12 5.0029886260e-16 8.4872215529e-12 1.3101247227e-12 -6.8568511335e-15
 110 3.9672532701e-10 1.2027627945e-13 -3.8861869007e-12 5.0973071287e-16 8.2806891701e-12 1.2850700386e-12 -6.7936786134e-15
