# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
  64 2.2877527944e-10 3.3728107594e-14 -4.2979663156e-13 1.7124191992e-16 3.2067546962e-11 3.9027442697e-12 -1.0566453977e-14
  65 2.3177025984e-10 3.5284227847e-14 -4.7810323366e-13 1.7665046322e-16 3.0922246344e-11 3.7814584475e-12 -1.0672028767e-14
  66 2.3479469918e-10 3.6875574462e-14 -5.2808910202e-13 1.8214186703e-16 2.9831118423e-11 3.6655129983e-12 -1.0594983626e-14
  67 2.3784976759e-10 3.8501223585e-14 -5.7976981038e-13 1.8771636654e-16 2.8793228350e-11 3.5548803534e-12 -1.0374967878e-14
  68 2.4093604299e-10 4.0160153987e-14 -6.3316245135e-13 1.9337423980e-16 2.7806496918e-11 3.4494202084e-12 -1.0057818161e-14
  69 2.4405347190e-10 4.1851244666e-14 -6.8828575946e-13 1.9911580957e-16 2.6867641436e-11 3.3488735388e-12 -9.6958032423e-15
  70 2.4720133015e-10 4.3573272455e-14 -7.4516023422e-13 2.0494144524e-16 2.5972116607e-11 3.2528566169e-12 -9.3478688448e-15
  71 2.5037818367e-10 4.5324909631e-14 -8.0380826312e-13 2.1085156469e-16 2.5114055403e-11 3.1608550275e-12 -9.0798824678e-15
  72 2.5358262253e-10 4.7104795074e-14 -8.6424244312e-13 2.1684657388e-16 2.4287781883e-11 3.0723601974e-12 -8.9496543382e-15
  73 2.5681571348e-10 4.8911768889e-14 -9.2642767626e-13 2.2292666822e-16 2.3492817202e-11 2.9873226198e-12 -8.9581275381e-15
  74 2.6007894943e-10 5.0744678707e-14 -9.9031198677e-13 2.2909199630e-16 2.2729732134e-11 2.9057752176e-12 -9.0892176353e-15
  75 2.6337349667e-10 5.2602309413e-14 -1.0558375341e-12 2.3534271920e-16 2.1998637434e-11 2.8276958551e-12 -9.3241054073e-15
  76 2.6670017326e-10 5.4483382431e-14 -1.1229404665e-12 2.4167901095e-16 2.1299160607e-11 2.7530046085e-12 -9.6411340866e-15
  77 2.7005942748e-10 5.6386555011e-14 -1.1915507746e-12 2.4810105896e-16 2.0630422670e-11 2.6815610351e-12 -1.0015706606e-14
  78 2.7345131620e-10 5.8310419516e-14 -1.2615921450e-12 2.5460906451e-16 1.9991014922e-11 2.6131614440e-12 -1.0420182843e-14
  79 2.7687548332e-10 6.0253502703e-14 -1.3329818141e-12 2.6120324318e-16 1.9378975709e-11 2.5475361655e-12 -1.0823776865e-14
  80 2.8033113818e-10 6.2214265013e-14 -1.4056304213e-12 2.6788382532e-16 1.8791767188e-11 2.4843468215e-12 -1.1192454176e-14
  81 2.8381703396e-10 6.4191099853e-14 -1.4794418628e-12 2.7465105646e-16 1.8226252096e-11 2.4231835952e-12 -1.1488828960e-14
  82 2.8733199760e-10 6.6182381562e-14 -1.5543250341e-12 2.8150516799e-16 1.7679478531e-11 2.3636671715e-12 -1.1680237408e-14
  83 2.9087667030e-10 6.8186620226e-14 -1.6302316702e-12 2.8844628221e-16 1.7151238444e-11 2.3057804414e-12 -1.1764758537e-14
  84 2.9445202417e-10 7.0202331938e-14 -1.7071246860e-12 2.9547449192e-16 1.6641902658e-11 2.2495883329e-12 -1.1749439898e-14
  85 2.9805882523e-10 7.2227992600e-14 -1.7849669206e-12 3.0258988874e-16 1.6151642576e-11 2.1951372690e-12 -1.1642554523e-14
  86 3.0169762161e-10 7.4262038058e-14 -1.8637212002e-12 3.0979256301e-16 1.5680421185e-11 2.1424542839e-12 -1.1453642320e-14
  87 3.0536873161e-10 7.6302864254e-14 -1.9433504016e-12 3.1708260378e-16 1.5227984074e-11 2.0915461380e-12 -1.1193551483e-14
  88 3.0907223191e-10 7.8348827366e-14 -2.0238175152e-12 3.2446009867e-16 1.4793850443e-11 2.0423984336e-12 -1.0874479889e-14
  89 3.1280794566e-10 8.0398243951e-14 -2.1050857080e-12 3.3192513385e-16 1.4377304119e-11 1.9949747301e-12 -1.0510016499e-14
  90 3.1657543065e-10 8.2449391090e-14 -2.1871183874e-12 3.3947779392e-16 1.3977384566e-11 1.9492156599e-12 -1.0115182764e-14
  91 3.2037396740e-10 8.4500506532e-14 -2.2698792641e-12 3.4711816187e-16 1.3592877899e-11 1.9050380434e-12 -9.7064740212e-15
  92 3.2420254736e-10 8.6549788837e-14 -2.3533324150e-12 3.5484631900e-16 1.3222307897e-11 1.8623340049e-12 -9.3019009009e-15
  93 3.2805986096e-10 8.8595397521e-14 -2.4374423470e-12 3.6266234484e-16 1.2863927014e-11 1.8209700877e-12 -8.9210307246e-15
  94 3.3194468412e-10 9.0635475383e-14 -2.5221694822e-12 3.7056640813e-16 1.2516126744e-11 1.7808209220e-12 -8.5810579970e-15
  95 3.3585712886e-10 9.2668218983e-14 -2.6074557094e-12 3.7855905546e-16 1.2178758064e-11 1.7418778788e-12 -8.2842571744e-15
  96 3.3979755776e-10 9.4691818974e-14 -2.6932367884e-12 3.8664096563e-16 1.1851991845e-11 1.7041550294e-12 -8.0287299627e-15
  97 3.4376619582e-10 9.6704439283e-14 -2.7794467382e-12 3.9481286362e-16 1.1535913709e-11 1.6676556199e-12 -7.8121979632e-15
  98 3.4776312397e-10 9.8704217555e-14 -2.8660178384e-12 4.0307552170e-16 1.1230520679e-11 1.6323716508e-12 -7.6319907133e-15
  99 3.5178827256e-10 1.0068926560e-13 -2.9528806311e-12 4.1142976059e-16 1.0935717825e-11 1.5982834571e-12 -7.4850337283e-15
 100 3.5584141485e-10 1.0265766982e-13 -3.0399639222e-12 4.1987645061e-16 1.0651314915e-11 1.5653592881e-12 -7.3678365421e-15
 101 3.5992216047e-10 1.0460749166e-13 -3.1271947836e-12 4.2841651286e-16 1.0377023059e-11 1.5335548866e-12 -7.2764807486e-15
 102 3.6402994894e-10 1.0653676807e-13 -3.2144985546e-12 4.3705092031e-16 1.0112451360e-11 1.5028130693e-12 -7.2066080429e-15
 103 3.6816404314e-10 1.0844351190e-13 -3.3017988436e-12 4.4578069900e-16 9.8571035592e-12 1.4730633065e-12 -7.1534082624e-15
 104 3.7232352283e-10 1.1032571239e-13 -3.3890175301e-12 4.5460692919e-16 9.6103746857e-12 1.4442213015e-12 -7.1116074280e-15
 105 3.7650727808e-10 1.1218133558e-13 -3.4760747661e-12 4.6353074646e-16 9.3715477038e-12 1.4161885707e-12 -7.0754557855e-15
 106 3.8071400280e-10 1.1400832477e-13 -3.5628889776e-12 4.7255334292e-16 9.1397901607e-12 1.3888520233e-12 -7.0387158465e-15
 107 3.8494245526e-10 1.1580466763e-13 -3.6493792253e-12 4.8167584747e-16 8.9143457223e-12 1.3621101344e-12 -6.9958970200e-15
 108 3.8919229249e-10 1.1756860670e-13 -3.7354726328e-12 4.9089894623e-16 8.6951446267e-12 1.3359562810e-12 -6.9461698306e-15
 109 3.9346333391e-10 1.1929845751e-13 -3.8210979422e-12 5.0022321415e-16 8.4822675779e-12 1.3104056255e-12 -6.8899462242e-15
 110 3.9775530035e-10 1.2099254550e-13 -3.9061832687e-12 5.0964923131e-16 8.2757567138e-12 1.2854693584e-12 -6.8276799187e-15
 111 4.0206781039e-10 1.2264920714e-13 -3.9906561273e-12 5.1917758280e-16 8.0756142775e-12 1.2611545545e-12 -6.7598673893e-15
 112 4.0640037655e-10 1.2426679108e-13 -4.0744434584e-12 5.2880885864e-16 7.8818012897e-12 1.2374640284e-12 -6.6870488549e-15
 113 4.1075240161e-10 1.2584365930e-13 -4.1574716544e-12 5.3854365366e-16 7.6942362192e-12 1.2143961909e-12 -6.6098092643e-15
 114 4.1512317481e-10 1.2737818818e-13 -4.2396665855e-12 5.4838256738e-16 7.5127936554e-12 1.1919449046e-12 -6.5287792819e-15
 115 4.1951186818e-10 1.2886876970e-13 -4.3209536264e-12 5.5832620396e-16 7.3373029795e-12 1.1700993399e-12 -6.4446362741e-15
 116 4.2391753273e-10 1.3031381257e-13 -4.4012576822e-12 5.6837517203e-16 7.1675470358e-12 1.1488438312e-12 -6.3581052952e-15
 117 4.2833909477e-10 1.3171174331e-13 -4.4805032145e-12 5.7853008462e-16 7.0032608039e-12 1.1281577323e-12 -6.2699600733e-15
 118 4.3277535213e-10 1.3306100744e-13 -4.5586142677e-12 5.8879155905e-16 6.8441300701e-12 1.1080152728e-12 -6.1810239966e-15
 119 4.3722497046e-10 1.3436007059e-13 -4.6355144953e-12 5.9916021684e-16 6.6897900984e-12 1.0883854137e-12 -6.0921710994e-15
 120 4.4168647944e-10 1.3560741964e-13 -4.7111271860e-12 6.0963668356e-16 6.5398243032e-12 1.0692317036e-12 -6.0043270481e-15
 121 4.4615826910e-10 1.3680156385e-13 -4.7853752897e-12 6.2022158878e-16 6.3937629197e-12 1.0505121345e-12 -5.9184701271e-15
 122 4.5063881308e-10 1.3794109701e-13 -4.8581830046e-12 6.3091560406e-16 6.2511875433e-12 1.0321891999e-12 -5.8354447411e-15
 123 4.5512737594e-10 1.3902488965e-13 -4.9294806893e-12 6.4171956226e-16 6.1120612863e-12 1.0142616956e-12 -5.7553753597e-15
 124 4.5962338111e-10 1.4005192129e-13 -4.9992005712e-12 6.5263435189e-16 5.9764345263e-12 9.9673634733e-13 -5.6781862527e-15
 125 4.6412618926e-10 1.4102122310e-13 -5.0672752756e-12 6.6366088049e-16 5.8443419867e-12 9.7961787592e-13 -5.6037823890e-15
 126 4.6863509636e-10 1.4193187946e-13 -5.1336378637e-12 6.7480007475e-16 5.7158022544e-12 9.6290893514e-13 -5.5320489234e-15
 127 4.7314933182e-10 1.4278302960e-13 -5.1982218718e-12 6.8605288076e-16 5.5908172985e-12 9.4661004909e-13 -5.4628506833e-15
 128 4.7766805649e-10 1.4357386924e-13 -5.2609613498e-12 6.9742026420e-16 5.4693719880e-12 9.3071954975e-13 -5.3960316557e-15
 129 4.8219036078e-10 1.4430365219e-13 -5.3217908998e-12 7.0890321052e-16 5.3514336102e-12 9.1523351448e-13 -5.3314144737e-15
 130 4.8671526273e-10 1.4497169199e-13 -5.3806457150e-12 7.2050272517e-16 5.2369513889e-12 9.0014570354e-13 -5.2687999035e-15
 131 4.9124170608e-10 1.4557736351e-13 -5.4374616181e-12 7.3221983379e-16 5.1258560026e-12 8.8544749761e-13 -5.2079663308e-15
 132 4.9576855835e-10 1.4612010460e-13 -5.4921751000e-12 7.4405558240e-16 5.0180591026e-12 8.7112783525e-13 -5.1486692483e-15
 133 5.0029460893e-10 1.4659941769e-13 -5.5447233587e-12 7.5601103759e-16 4.9134528312e-12 8.5717315050e-13 -5.0906407417e-15
 134 5.0481856712e-10 1.4701487142e-13 -5.5950443378e-12 7.6808728677e-16 4.8119093399e-12 8.4356731031e-13 -5.0335889770e-15
 135 5.0933906026e-10 1.4736610227e-13 -5.6430767650e-12 7.8028543832e-16 4.7132803078e-12 8.3029155210e-13 -4.9771976871e-15
 136 5.1385463175e-10 1.4765281616e-13 -5.6887601913e-12 7.9260662181e-16 4.6173964594e-12 8.1732442125e-13 -4.9211256584e-15
 137 5.1836373918e-10 1.4787479010e-13 -5.7320350292e-12 8.0505198818e-16 4.5240670829e-12 8.0464170865e-13 -4.8650062179e-15
 138 5.2286475236e-10 1.4803187380e-13 -5.7728425912e-12 8.1762270999e-16 4.4330795487e-12 7.9221638814e-13 -4.8084467200e-15
 139 5.2735595143e-10 1.4812399129e-13 -5.8111251292e-12 8.3031998157e-16 4.3441988272e-12 7.8001855411e-13 -4.7510280328e-15
 140 5.3183569341e-10 1.4815116284e-13 -5.8468257970e-12 8.4314491225e-16 4.2572180027e-12 7.6802208432e-13 -4.6923934425e-15
 141 5.3630293492e-10 1.4811356985e-13 -5.8798884531e-12 8.5609819332e-16 4.1721166067e-12 7.5622552226e-13 -4.6325266099e-15
 142 5.4075675906e-10 1.4801149966e-13 -5.9102579117e-12 8.6918039760e-16 4.0889174877e-12 7.4463320194e-13 -4.5715009343e-15
 143 5.4519621070e-10 1.4784532754e-13 -5.9378800539e-12 8.8239208284e-16 4.0076370854e-12 7.3324869102e-13 -4.5093926946e-15
 144 5.4962029569e-10 1.4761551847e-13 -5.9627018661e-12 8.9573379138e-16 3.9282852587e-12 7.2207476917e-13 -4.4462810792e-15
 145 5.5402797986e-10 1.4732262885e-13 -5.9846714782e-12 9.0920604964e-16 3.8508651139e-12 7.1111340652e-13 -4.3822482167e-15
 146 5.5841818818e-10 1.4696730828e-13 -6.0037382017e-12 9.2280936768e-16 3.7753728333e-12 7.0036574202e-13 -4.3173792063e-15
 147 5.6278980385e-10 1.4655030128e-13 -6.0198525683e-12 9.3654423875e-16 3.7017975026e-12 6.8983206184e-13 -4.2517621478e-15
 148 5.6714166741e-10 1.4607244905e-13 -6.0329663675e-12 9.5041113887e-16 3.6301209399e-12 6.7951177778e-13 -4.1854881721e-15
 149 5.7147257579e-10 1.4553469120e-13 -6.0430326852e-12 9.6441052632e-16 3.5603175236e-12 6.6940340565e-13 -4.1186514718e-15
 150 5.7578128149e-10 1.4493806752e-13 -6.0500059420e-12 9.7854284123e-16 3.4923540203e-12 6.5950454368e-13 -4.0513493312e-15
 151 5.8006649162e-10 1.4428371970e-13 -6.0538419310e-12 9.9280850514e-16 3.4261894133e-12 6.4981185090e-13 -3.9836821569e-15
 152 5.8432686702e-10 1.4357289310e-13 -6.0544978566e-12 1.0072079205e-15 3.3617747309e-12 6.4032102557e-13 -3.9157535079e-15
 153 5.8856102136e-10 1.4280693848e-13 -6.0519323721e-12 1.0217414703e-15 3.2990528741e-12 6.3102678351e-13 -3.8476701263e-15
 154 5.9276752027e-10 1.4198731374e-13 -6.0461056182e-12 1.0364095176e-15 3.2379584453e-12 6.2192283658e-13 -3.7795419671e-15
 155 5.9694488038e-10 1.4111558568e-13 -6.0369792614e-12 1.0512124049e-15 3.1784175763e-12 6.1300187102e-13 -3.7114822291e-15
 156 6.0109156846e-10 1.4019343175e-13 -6.0245165317e-12 1.0661504540e-15 3.1203477565e-12 6.0425552584e-13 -3.6436073852e-15
 157 6.0520600054e-10 1.3922264177e-13 -6.0086822613e-12 1.0812239653e-15 3.0636576608e-12 5.9567437127e-13 -3.5760372122e-15
 158 6.0928654096e-10 1.3820511971e-13 -5.9894429226e-12 1.0964332175e-15 3.0082469784e-12 5.8724788710e-13 -3.5088948218e-15
 159 6.1333150152e-10 1.3714288540e-13 -5.9667666665e-12 1.1117784670e-15 2.9540062405e-12 5.7896444110e-13 -3.4423066907e-15
 160 6.1733927478e-10 1.3603802931e-13 -5.9406238112e-12 1.1272599368e-15 2.9008393968e-12 5.7081384241e-13 -3.3763810558e-15
 161 6.2130874928e-10 1.3489256855e-13 -5.9109882780e-12 1.1428777822e-15 2.8487341636e-12 5.6279530227e-13 -3.3111408771e-15
 162 6.2523892975e-10 1.3370858130e-13 -5.8778363568e-12 1.1586321211e-15 2.7976976354e-12 5.5491014362e-13 -3.2465849407e-15
 163 6.2912880589e-10 1.3248825423e-13 -5.8411463073e-12 1.1745230438e-15 2.7477340345e-12 5.4715928021e-13 -3.1827088876e-15
 164 6.3297735213e-10 1.3123388396e-13 -5.8008983987e-12 1.1905506132e-15 2.6988446452e-12 5.3954320705e-13 -3.1195051431e-15
